dataset_id	dataset_name	lc_mode	source	source_url	pmid	authors	missing_information	notes	upstream_info_url
0004	MTBLS20	RP	PredRet	https://doi.org/10.1021/ac300829f	22770225	A. Roux, Y. Xu, J.-F. Heilier, M.-F. Olivier, E. Ezan, J.-C. Tabe, C. Junot	temperature	different chromatographic conditions of HPLC and UHPLC but only one RT	https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0004/0004_info.tsv
0007	MTBLS87	HILIC	PredRet	https://doi.org/10.1039/C4MB00346B		R. Chaleckis, M. Ebe, T. Pluskal, I. Murakami, H. Kondoh, M. Yanagida	temperature		https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0007/0007_info.tsv
0027	KI_GIAR_zic_HILIC_ph2_7	HILIC	PredRet	https://doi.org/10.1021/acs.analchem.7b00925		S. Naz, H. Gallart-Ayala, S. N. Reinke, C. Mathon, R. Blankley, R. Chaleckis, C. E. Wheelock			https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0027/0027_info.tsv
0178	HILIC19 neg	HILIC	Publication - Folberth	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman	temperature		https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0178/0178_info.tsv
0182	RP VION QTOF new	RP	Publication - Pezzatti	https://doi.org/10.1016/j.chroma.2019.01.023		J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz		sometimes two RTs; removed 3 entries with no retention times	https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0182/0182_info.tsv
0231	HPOS_ROI_V_3_1_1	HILIC	The National Phenome Centre’s Open Platform for LC-MS-Based Metabolomics						https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0231/0231_info.tsv
0234	RNEG_ROI_V_3_1_0	RP	The National Phenome Centre’s Open Platform for LC-MS-Based Metabolomics						https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0234/0234_info.tsv
0235	RPOS_ROI_V_3_1_1	RP	The National Phenome Centre’s Open Platform for LC-MS-Based Metabolomics						https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0235/0235_info.tsv
0283	Kruve Lab_18	HILIC	Publication - Souihi	https://doi.org/10.1016/j.chroma.2022.462867		A. Souihi, M.P. Mohai, E. Palm, L. Malm, A. Kruve			https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0283/0283_info.tsv
0317	CCS_neg_40_ACN_Raptor Biphenyl	RP	Dataset - BGC			E.-M. Harrieder, M. Witting			https://github.com/michaelwitting/RepoRT/blob/master/raw_data/0317/0317_info.tsv
